path,asset_id,subject_id,obj_id,size_mb,condition
sub-P1-20240821-A2/sub-P1-20240821-A2_obj-10gndju_image.nwb,28e0d60b-ace7-4453-8ee9-d95e7e3a9b92,sub-P1-20240821-A2,10gndju,398.14928150177,A2
sub-P1-20240821-A3/sub-P1-20240821-A3_obj-1c8wwrq_image.nwb,c3655e5a-e3c6-4d3d-87a8-f7ffc7f317b9,sub-P1-20240821-A3,1c8wwrq,327.95539951324463,A3
sub-P1-20240821-A2/sub-P1-20240821-A2_obj-uyfadb_image.nwb,b4c1c015-957d-4c0a-9cb0-e9cc0a8599d0,sub-P1-20240821-A2,uyfadb,334.23320484161377,A2
sub-P1-20240821-A3/sub-P1-20240821-A3_obj-11jj6uw_image.nwb,e6175b34-539e-4494-a63c-0e80e4167395,sub-P1-20240821-A3,11jj6uw,398.4480142593384,A3
sub-P1-20240821-B1/sub-P1-20240821-B1_obj-1d62n62_image.nwb,9b1ab7a2-6290-4920-bbc2-1b07f76981fd,sub-P1-20240821-B1,1d62n62,402.3468236923218,B1
sub-P1-20240821-B1/sub-P1-20240821-B1_obj-rp5vwc_image.nwb,f3a56353-3c65-4f86-866a-27182c9fa50f,sub-P1-20240821-B1,rp5vwc,337.85399627685547,B1
sub-P1-20240827-A1/sub-P1-20240827-A1_obj-1vrcyq3_image.nwb,c1ed2ff6-43de-4e1f-a413-aee102a11f8d,sub-P1-20240827-A1,1vrcyq3,301.62013149261475,A1
sub-P1-20240827-A2/sub-P1-20240827-A2_obj-1dtoxbs_image.nwb,bb0d967c-a3c9-46be-a5fb-7ecca3864a50,sub-P1-20240827-A2,1dtoxbs,417.2476110458374,A2
sub-P1-20240827-A1/sub-P1-20240827-A1_obj-d6v6fx_image.nwb,67e4dec2-6026-4828-9b73-42bf57208ff0,sub-P1-20240827-A1,d6v6fx,418.41146755218506,A1
sub-P1-20240827-A2/sub-P1-20240827-A2_obj-qaf0wz_image.nwb,b8176eeb-d3be-45fe-b46d-ebdab5a08d6a,sub-P1-20240827-A2,qaf0wz,318.8036127090454,A2
sub-P1-20240827-A3/sub-P1-20240827-A3_obj-1yomrew_image.nwb,f8f95abb-1c14-4ca6-a18c-db77be5883b3,sub-P1-20240827-A3,1yomrew,333.9331216812134,A3
sub-P1-20240827-B3/sub-P1-20240827-B3_obj-1lnk4f0_image.nwb,e995950f-546b-4e1c-8e45-4ee4ed81ee59,sub-P1-20240827-B3,1lnk4f0,305.6969289779663,B3
sub-P1-20240827-A3/sub-P1-20240827-A3_obj-kqt584_image.nwb,ce31ee34-f5bc-49fe-8147-2ff1cde55fff,sub-P1-20240827-A3,kqt584,420.00336170196533,A3
sub-P1-20240918-B2/sub-P1-20240918-B2_obj-8erdqt_image.nwb,8e677dbb-ca9d-44c4-9183-7c74dee7f46b,sub-P1-20240918-B2,8erdqt,393.75355529785156,B2
sub-P1-20240918-B2/sub-P1-20240918-B2_obj-lhicd3_image.nwb,57ae6498-0bc9-4b4e-add4-bf14e4dd26e6,sub-P1-20240918-B2,lhicd3,411.5998411178589,B2
sub-P1-20240827-B3/sub-P1-20240827-B3_obj-bnbjh9_image.nwb,3c9376b7-7fbd-4839-9fe4-70c4e73e8f05,sub-P1-20240827-B3,bnbjh9,422.1599235534668,B3
sub-P1-20240918-B3/sub-P1-20240918-B3_obj-eo4ofk_image.nwb,793ab9f6-67c7-45f5-926f-28f3b7478817,sub-P1-20240918-B3,eo4ofk,325.41921615600586,B3
sub-P1-20240918-B3/sub-P1-20240918-B3_obj-165yooy_image.nwb,44f2b8b2-4564-4e21-b8f6-c40ea6a8b1e2,sub-P1-20240918-B3,165yooy,411.32970905303955,B3
sub-P2-20240813-A2/sub-P2-20240813-A2_obj-um0wpf_image.nwb,ccdb45ca-38fe-4e7a-8176-4eeb11ae2ee7,sub-P2-20240813-A2,um0wpf,331.4659423828125,A2
sub-P2-20240813-A1/sub-P2-20240813-A1_obj-176jvi6_image.nwb,205951b9-c471-4c48-979e-854a0b2482c2,sub-P2-20240813-A1,176jvi6,408.2436285018921,A1
sub-P2-20240813-A1/sub-P2-20240813-A1_obj-no828v_image.nwb,77013c2a-610e-4ee6-9782-a7626a33493e,sub-P2-20240813-A1,no828v,317.9173707962036,A1
sub-P2-20240813-A2/sub-P2-20240813-A2_obj-jl9etk_image.nwb,cf28bb1f-7270-49ee-ab86-61ddf9db47bf,sub-P2-20240813-A2,jl9etk,407.12406826019287,A2
sub-P2-20240813-A3/sub-P2-20240813-A3_obj-1m2w9z1_image.nwb,60017a44-a483-476d-9efe-50f1b11052ad,sub-P2-20240813-A3,1m2w9z1,398.61802768707275,A3
sub-P2-20240821-A2/sub-P2-20240821-A2_obj-c8y6cv_image.nwb,d65de628-d63a-4d7b-afb0-31c3ba2d3850,sub-P2-20240821-A2,c8y6cv,398.8600482940674,A2
sub-P2-20240813-A3/sub-P2-20240813-A3_obj-7dwgpf_image.nwb,5e406676-d1c1-4116-b024-75c7c0bfa668,sub-P2-20240813-A3,7dwgpf,406.12032318115234,A3
sub-P2-20240821-A2/sub-P2-20240821-A2_obj-s986oa_image.nwb,8f651d94-5c3f-4ffa-8c8c-3ced9ba4fff8,sub-P2-20240821-A2,s986oa,308.74727725982666,A2
sub-P2-20240821-B2/sub-P2-20240821-B2_obj-1xpzvmu_image.nwb,e9455b15-2021-425d-b6a3-a5d673455983,sub-P2-20240821-B2,1xpzvmu,302.9669141769409,B2
sub-P2-20240821-B2/sub-P2-20240821-B2_obj-kkjhi6_image.nwb,40ce9004-c8db-498e-9f08-0c31012e997f,sub-P2-20240821-B2,kkjhi6,406.45618534088135,B2
sub-P2-20240827-A2/sub-P2-20240827-A2_obj-1jxsr1i_image.nwb,7db551b5-cafc-4551-9953-5a9a7bc4a330,sub-P2-20240827-A2,1jxsr1i,301.7872438430786,A2
sub-P2-20240827-A1/sub-P2-20240827-A1_obj-1lxfcfd_image.nwb,ce324f9f-cfde-40ab-bfcd-dddc9e3fd1de,sub-P2-20240827-A1,1lxfcfd,331.7686061859131,A1
